participant_id,The smell was relevant to the images I was watching.,The smell came across strong.,The smell was distracting.,The smell was consistent with the images when released.,The smell was annoying.,The smell faded away slowly after watching the images.,The smell enhanced my viewing experience.,"Overall, I enjoyed the multisensorial experience.","Do you feel any discomfort now (e.g., nausea, vertigo, headache)? Rate it from 1 (none) to 5 (severe)",Interested,Excited,Upset,Irritable,Enthusiastic,Overall feeling,How did you feel during the experience?,How aroused did you feel during the experience? (i.e. how activated or stimulated),How in control did you feel during the experience? (i.e. how free and autonomous vs. constrained)
1,0.19446111706564936,0.50469493868284,1.06341013795023,0.50469493868284,0.9746794344808966,-0.2727723627949904,1.4260481918147616,0.8620436566990364,0.43301270189221946,0.7761505257063326,1.2597041160899238,0.5163977794943216,0.5163977794943216,1.1726039399558574,0.9746794344808966,1.1892706339954662,1.0914971275186407,0.2527451803357788
2,0.19446111706564936,1.570162031457724,-2.610188520423292,-0.5607721540920441,-2.9240383034426896,-0.2727723627949904,-1.037125957683463,-0.9578262852211511,-2.309401076758503,0.7761505257063326,0.3391511081780563,0.5163977794943216,0.5163977794943216,0.15990053726670786,0.9746794344808966,0.48314119506065806,1.0914971275186407,0.2527451803357788
3,0.19446111706564936,0.50469493868284,-0.7733891912365309,0.50469493868284,0.0,-1.3093073414159542,0.19446111706564936,0.8620436566990364,0.43301270189221946,0.7761505257063326,0.3391511081780563,-1.936491673103709,-1.936491673103709,0.15990053726670786,0.0,0.48314119506065806,1.0914971275186407,0.2527451803357788
4,-1.037125957683463,-0.5607721540920441,0.1450104733568496,-1.6262392468669282,0.0,0.7637626158259734,-1.037125957683463,-0.9578262852211511,0.43301270189221946,-2.1732214719777323,-2.4225079155575466,0.5163977794943216,0.5163977794943216,-2.8782096708007407,-0.9746794344808966,-1.635247121743766,-1.3199500146737047,0.7863183388224227
5,-1.037125957683463,0.50469493868284,0.1450104733568496,-0.5607721540920441,0.0,-0.2727723627949904,-1.037125957683463,-0.04789131426105731,0.43301270189221946,0.7761505257063326,-0.5814018997338113,0.5163977794943216,0.5163977794943216,0.15990053726670786,0.0,-1.635247121743766,-0.3553711577967665,-2.948693770584085
6,1.4260481918147616,1.570162031457724,0.1450104733568496,0.50469493868284,0.0,1.8002975944469373,1.4260481918147616,0.8620436566990364,0.43301270189221946,0.7761505257063326,1.2597041160899238,0.5163977794943216,0.5163977794943216,1.1726039399558574,0.9746794344808966,1.1892706339954662,1.5737865559571096,0.7863183388224227
7,1.4260481918147616,-2.6917063396418124,1.06341013795023,1.570162031457724,0.9746794344808966,0.7637626158259734,1.4260481918147616,0.8620436566990364,-2.309401076758503,0.7761505257063326,0.3391511081780563,0.5163977794943216,0.5163977794943216,0.15990053726670786,0.9746794344808966,1.1892706339954662,-0.3553711577967665,0.7863183388224227
8,-2.2687130324325753,-0.5607721540920441,0.1450104733568496,0.50469493868284,0.0,0.7637626158259734,0.19446111706564936,-2.7776962271413383,0.43301270189221946,-2.1732214719777323,-1.5019549076456788,0.5163977794943216,0.5163977794943216,-0.8528028654224417,-2.9240383034426896,-0.22298824387414998,-1.3199500146737047,-1.881547453610797
9,0.19446111706564936,-0.5607721540920441,0.1450104733568496,0.50469493868284,0.0,-0.2727723627949904,-1.037125957683463,-0.04789131426105731,0.43301270189221946,-0.6985354731356997,-0.5814018997338113,-1.936491673103709,-1.936491673103709,0.15990053726670786,0.0,-0.22298824387414998,0.12691827064170255,0.2527451803357788
10,-1.037125957683463,0.50469493868284,1.06341013795023,-1.6262392468669282,0.9746794344808966,-1.3093073414159542,-1.037125957683463,-0.04789131426105731,0.43301270189221946,-0.6985354731356997,-0.5814018997338113,0.5163977794943216,0.5163977794943216,0.15990053726670786,0.0,-0.22298824387414998,0.6092076990801716,-0.28082797815086513
11,-1.037125957683463,-0.5607721540920441,0.1450104733568496,-1.6262392468669282,-0.9746794344808966,0.7637626158259734,0.19446111706564936,-0.04789131426105731,0.43301270189221946,0.7761505257063326,-0.5814018997338113,0.5163977794943216,0.5163977794943216,-0.8528028654224417,-0.9746794344808966,-0.22298824387414998,-1.8022394431121735,0.2527451803357788
12,0.19446111706564936,0.50469493868284,0.1450104733568496,0.50469493868284,0.0,-0.2727723627949904,0.19446111706564936,-0.04789131426105731,0.43301270189221946,-0.6985354731356997,-0.5814018997338113,0.5163977794943216,0.5163977794943216,-0.8528028654224417,0.0,-0.22298824387414998,0.6092076990801716,0.7863183388224227
13,-1.037125957683463,-1.6262392468669282,-1.6917888558299115,-1.6262392468669282,0.0,0.7637626158259734,0.19446111706564936,0.8620436566990364,0.43301270189221946,-0.6985354731356997,-0.5814018997338113,0.5163977794943216,0.5163977794943216,-0.8528028654224417,-0.9746794344808966,-1.635247121743766,-1.8022394431121735,-1.3479742951241531
14,0.19446111706564936,0.50469493868284,0.1450104733568496,1.570162031457724,0.9746794344808966,-1.3093073414159542,0.19446111706564936,0.8620436566990364,0.43301270189221946,0.7761505257063326,1.2597041160899238,0.5163977794943216,0.5163977794943216,1.1726039399558574,0.9746794344808966,1.1892706339954662,0.6092076990801716,-0.28082797815086513
15,0.19446111706564936,0.50469493868284,-1.6917888558299115,-0.5607721540920441,-1.9493588689617931,-1.3093073414159542,-2.2687130324325753,-1.8677612561812449,-2.309401076758503,0.7761505257063326,0.3391511081780563,-1.936491673103709,-1.936491673103709,0.15990053726670786,0.0,0.48314119506065806,0.12691827064170255,-0.28082797815086513
16,1.4260481918147616,-0.5607721540920441,0.1450104733568496,0.50469493868284,0.9746794344808966,-1.3093073414159542,0.19446111706564936,0.8620436566990364,0.43301270189221946,0.7761505257063326,1.2597041160899238,-1.936491673103709,-1.936491673103709,1.1726039399558574,0.9746794344808966,0.48314119506065806,-0.3553711577967665,0.7863183388224227
17,1.4260481918147616,0.50469493868284,1.06341013795023,0.50469493868284,0.9746794344808966,1.8002975944469373,1.4260481918147616,0.8620436566990364,0.43301270189221946,0.7761505257063326,1.2597041160899238,0.5163977794943216,0.5163977794943216,1.1726039399558574,0.9746794344808966,1.1892706339954662,1.0914971275186407,0.7863183388224227
18,0.19446111706564936,0.50469493868284,0.1450104733568496,0.50469493868284,0.0,0.7637626158259734,0.19446111706564936,-0.04789131426105731,0.43301270189221946,-0.6985354731356997,-0.5814018997338113,0.5163977794943216,0.5163977794943216,-0.8528028654224417,-0.9746794344808966,-1.635247121743766,-0.3553711577967665,0.7863183388224227
19,0.19446111706564936,-0.5607721540920441,1.06341013795023,0.50469493868284,0.0,-0.2727723627949904,0.19446111706564936,-0.04789131426105731,0.43301270189221946,-0.6985354731356997,0.3391511081780563,0.5163977794943216,0.5163977794943216,0.15990053726670786,0.0,-0.22298824387414998,-0.3553711577967665,0.2527451803357788
